,db_read,db_write,reset_password,create_ticket,send_notification,quarantine_system,scan_malware,generate_report,process_refund,update_subscription,provision_vm,restart_service,check_status,escalate_to_human,log_audit_event
db_read,12,5,4,7,12,5,0,5,4,3,3,1,1,5,0
db_write,6,18,2,3,4,2,0,6,0,3,10,1,0,12,0
reset_password,0,0,47,5,0,2,1,0,1,0,4,4,0,3,0
create_ticket,1,9,0,20,0,0,0,5,0,0,0,0,0,23,9
send_notification,2,0,1,4,3,7,0,1,0,3,1,1,1,39,4
quarantine_system,1,8,6,4,1,10,22,3,1,0,11,0,0,0,0
scan_malware,1,8,5,9,0,4,29,3,0,0,3,0,0,1,4
generate_report,3,9,0,10,6,1,0,3,25,1,0,0,0,5,4
process_refund,0,3,0,17,0,0,0,3,0,24,7,0,0,12,1
update_subscription,0,0,0,2,2,2,0,2,1,40,4,3,5,6,0
provision_vm,0,2,0,13,11,7,0,9,7,1,2,2,0,13,0
restart_service,1,8,5,15,2,9,0,4,9,0,1,13,0,0,0
check_status,3,9,6,9,4,13,5,8,1,0,0,0,4,0,5
escalate_to_human,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0
log_audit_event,0,4,0,25,0,0,0,12,0,0,0,0,0,6,20
