condition,row_index,query,ground_truth_raw,ground_truth_tool,predicted_tool,correct,rank,top1_cosine,ground_truth_cosine,top5_tools,top5_cosines,source_row_id,generation_type,confusable_with
Paraphrase,0,bring up Bob's account information.,query_database,db_read,update_subscription,False,7,0.26032283902168274,0.22145356237888336,update_subscription;quarantine_system;send_notification;escalate_to_human;provision_vm,0.26032284;0.24946482;0.24743031;0.23768313;0.23618738,6,paraphrase_original,
Paraphrase,1,"Yo, bring up bob's account information.",query_database,db_read,scan_malware,False,8,0.2928633391857147,0.24007628858089447,scan_malware;quarantine_system;update_subscription;send_notification;provision_vm,0.29286334;0.28925675;0.28536916;0.27973345;0.27519783,6,paraphrase_variant,
Paraphrase,2,We request that you bring up bob's account information.,query_database,db_read,send_notification,False,7,0.3481561243534088,0.28489193320274353,send_notification;quarantine_system;update_subscription;provision_vm;scan_malware,0.34815612;0.34765130;0.31981197;0.31669402;0.30566204,6,paraphrase_variant,
Paraphrase,3,Is it possible to bring up bob's account information?,query_database,db_read,update_subscription,False,6,0.31266769766807556,0.28284019231796265,update_subscription;scan_malware;send_notification;provision_vm;quarantine_system,0.31266770;0.30306295;0.29479173;0.29016140;0.28873447,6,paraphrase_variant,
Paraphrase,4,bring up bob's account information -- that's what needs to happen.,query_database,db_read,quarantine_system,False,10,0.3328130543231964,0.22184282541275024,quarantine_system;send_notification;escalate_to_human;provision_vm;scan_malware,0.33281305;0.33021736;0.32856807;0.30951586;0.28931794,6,paraphrase_variant,
Paraphrase,5,Please check the database entry for Eve.,query_database,db_read,db_write,False,2,0.4671325087547302,0.4623416066169739,db_write;db_read;generate_report;provision_vm;quarantine_system,0.46713251;0.46234161;0.31529841;0.28974485;0.28926808,11,paraphrase_original,
Paraphrase,6,Is it possible to check the database entry for eve?,query_database,db_read,db_read,True,1,0.4032793641090393,0.4032793641090393,db_read;db_write;scan_malware;log_audit_event;check_status,0.40327936;0.33364382;0.22217062;0.20756856;0.20015803,11,paraphrase_variant,
Paraphrase,7,What we need is for check the database entry for eve.,query_database,db_read,db_read,True,1,0.45523694157600403,0.45523694157600403,db_read;db_write;check_status;generate_report;log_audit_event,0.45523694;0.41172791;0.24942856;0.24891974;0.23941901,11,paraphrase_variant,
Paraphrase,8,Quick one -- check the database entry for eve.,query_database,db_read,db_write,False,2,0.4486139416694641,0.44530370831489563,db_write;db_read;generate_report;quarantine_system;send_notification,0.44861394;0.44530371;0.31416818;0.28067294;0.27924496,11,paraphrase_variant,
Paraphrase,9,Would you mind check the database entry for eve.,query_database,db_read,db_read,True,1,0.4846533238887787,0.4846533238887787,db_read;db_write;generate_report;log_audit_event;scan_malware,0.48465332;0.48036739;0.34879944;0.32774121;0.32360947,11,paraphrase_variant,
Paraphrase,10,Can you check the database for #53698?,query_database,db_read,db_read,True,1,0.5324844717979431,0.5324844717979431,db_read;db_write;generate_report;provision_vm;quarantine_system,0.53248447;0.46286824;0.35917383;0.34993213;0.34203115,18,paraphrase_original,
Paraphrase,11,Quick one -- check the database for #53698.,query_database,db_read,db_read,True,1,0.5274069309234619,0.5274069309234619,db_read;db_write;generate_report;send_notification;provision_vm,0.52740693;0.50490367;0.43526560;0.39690372;0.39148998,18,paraphrase_variant,
