source_row_id,original_query,transformed_query,label,generation_type,lexical_cues_removed,paraphrase_family,confusable_with
1474,Just green-light Alice's access to Engineering. Nothing else needed.,Can someone authorize Alice's pending request?,approve_access,lexical_cue_reduced,access;green-light,,
1475,All I need is for someone to authorize Grace for cdn-edge-06.,Frank needs to get into the system for their job.,approve_access,lexical_cue_reduced,authorize,,
1476,Just approve Frank's access request. Nothing else needed.,Bob can't do their work without the right permissions.,approve_access,lexical_cue_reduced,access;approve,,
1477,"Per Grace's request, grant Eve permissions to cdn-edge-06.",There's a pending request that's blocking Bob.,approve_access,lexical_cue_reduced,grant,,
1478,From Finance: give Grace access to Legal's resources.,Can someone authorize Frank's pending request?,approve_access,lexical_cue_reduced,access,,
1479,All I need is for someone to green-light Diana's access to Finance.,Alice's team lead already confirmed they need this.,approve_access,lexical_cue_reduced,access;green-light,,
1480,Quick task: sign off on Diana's permission request.,Diana's team lead already confirmed they need this.,approve_access,lexical_cue_reduced,permission;sign,,
1481,Please grant Charlie permissions to auth-svc-04.,Alice needs to get into the system for their job.,approve_access,lexical_cue_reduced,grant,,
1482,Just give Diana access to Legal's resources. Nothing else needed.,Bob needs to get into the system for their job.,approve_access,lexical_cue_reduced,access,,
1483,ASAP — sign off on Frank's permission request.,There's a pending request that's blocking Eve.,approve_access,lexical_cue_reduced,permission;sign,,
1484,All I need is for someone to grant Alice permissions to payment-api-03.,Bob's team lead already confirmed they need this.,approve_access,lexical_cue_reduced,grant,,
1485,Just approve Diana's access request. Nothing else needed.,Can someone authorize Eve's pending request?,approve_access,lexical_cue_reduced,access;approve,,
1486,Just green-light Charlie's access to Marketing. Nothing else needed.,The request has been sitting there for days.,approve_access,lexical_cue_reduced,access;green-light,,
1487,The Finance team needs us to green-light Charlie's access to Legal.,There's a pending request that's blocking Diana.,approve_access,lexical_cue_reduced,access;green-light,,
1488,Simple request — give Alice access to Engineering's resources and we're good.,Charlie's team lead already confirmed they need this.,approve_access,lexical_cue_reduced,access,,
1489,All I need is for someone to sign off on Grace's permission request.,Grace needs to get into the system for their job.,approve_access,lexical_cue_reduced,permission;sign,,
1490,Quick task: give Alice access to Engineering's resources.,There's a pending request that's blocking Frank.,approve_access,lexical_cue_reduced,access,,
1491,Quick task: grant Diana permissions to prod-web-01.,Charlie can't do their work without the right permissions.,approve_access,lexical_cue_reduced,grant,,
1492,Quick task: grant Frank permissions to cdn-edge-06.,Alice can't do their work without the right permissions.,approve_access,lexical_cue_reduced,grant,,
1493,Quick task: sign off on Charlie's permission request.,Diana needs to get into the system for their job.,approve_access,lexical_cue_reduced,permission;sign,,
1494,Quick task: sign off on Grace's permission request.,Charlie needs to get into the system for their job.,approve_access,lexical_cue_reduced,permission;sign,,
1495,Simple request — authorize Bob for ml-infer-05 and we're good.,Eve can't do their work without the right permissions.,approve_access,lexical_cue_reduced,authorize,,
1496,Quick task: give Alice access to HR's resources.,Grace can't do their work without the right permissions.,approve_access,lexical_cue_reduced,access,,
1497,Quick task: green-light Eve's access to HR.,Eve needs to get into the system for their job.,approve_access,lexical_cue_reduced,access;green-light,,
1498,"For the Engineering team, green-light Charlie's access to Legal.",Can someone authorize Bob's pending request?,approve_access,lexical_cue_reduced,access;green-light,,
1499,Quick task: give Charlie access to Legal's resources.,There's a pending request that's blocking Grace.,approve_access,lexical_cue_reduced,access,,
1500,I need you to grant Grace permissions to cdn-edge-06.,Diana can't do their work without the right permissions.,approve_access,lexical_cue_reduced,grant,,
1501,Just authorize Alice for payment-api-03. Nothing else needed.,Can someone authorize Grace's pending request?,approve_access,lexical_cue_reduced,,,
1502,Simple request — green-light Eve's access to Marketing and we're good.,Frank can't do their work without the right permissions.,approve_access,lexical_cue_reduced,access;green-light,,
1503,All I need is for someone to green-light Charlie's access to Engineering.,Frank's team lead already confirmed they need this.,approve_access,lexical_cue_reduced,access;green-light,,
1504,Simple request — authorize Eve for ml-infer-05 and we're good.,Can someone authorize Charlie's pending request?,approve_access,lexical_cue_reduced,,,
1505,Just approve Bob's access request. Nothing else needed.,Can someone authorize Diana's pending request?,approve_access,lexical_cue_reduced,access;approve,,
1506,Just green-light Bob's access to Legal. Nothing else needed.,There's a pending request that's blocking Charlie.,approve_access,lexical_cue_reduced,access;green-light,,
1507,Time to sign off on Bob's permission request.,Grace's team lead already confirmed they need this.,approve_access,lexical_cue_reduced,permission;sign,,
1508,Just grant Grace permissions to prod-web-01. Nothing else needed.,There's a pending request that's blocking Bob.,approve_access,lexical_cue_reduced,grant,,
1509,Do me a favor and approve Charlie's access request.,There's a pending request that's blocking Alice.,approve_access,lexical_cue_reduced,access;approve,,
1510,All I need is for someone to approve Grace's access request.,Eve's team lead already confirmed they need this.,approve_access,lexical_cue_reduced,access;approve,,
1511,Simple request — approve Eve's access request and we're good.,Diana's team lead already confirmed they need this.,approve_access,lexical_cue_reduced,access;approve,,
1512,Just authorize Charlie for prod-web-01. Nothing else needed.,Eve needs to get into the system for their job.,approve_access,lexical_cue_reduced,authorize,,
1513,Just sign off on Grace's permission request. Nothing else needed.,Charlie's team lead already confirmed they need this.,approve_access,lexical_cue_reduced,permission;sign,,
1514,All I need is for someone to sign off on Charlie's permission request.,Alice's team lead already confirmed they need this.,approve_access,lexical_cue_reduced,permission;sign,,
1515,Quick task: grant Eve permissions to staging-db-02.,The request has been sitting there for days.,approve_access,lexical_cue_reduced,grant,,
1516,Just approve Grace's access request. Nothing else needed.,Eve can't do their work without the right permissions.,approve_access,lexical_cue_reduced,access;approve,,
1517,Simple request — authorize Diana for ml-infer-05 and we're good.,Grace needs to get into the system for their job.,approve_access,lexical_cue_reduced,authorize,,
1518,Just sign off on Grace's permission request. Nothing else needed.,Grace's team lead already confirmed they need this.,approve_access,lexical_cue_reduced,permission;sign,,
1519,Simple request — approve Grace's access request and we're good.,Grace needs to get into the system for their job.,approve_access,lexical_cue_reduced,access;approve,,
1520,Quick task: approve Eve's access request.,Bob can't do their work without the right permissions.,approve_access,lexical_cue_reduced,access;approve,,
1521,Simple request — authorize Eve for cdn-edge-06 and we're good.,The request has been sitting there for days.,approve_access,lexical_cue_reduced,authorize,,
1522,Just authorize Frank for ml-infer-05. Nothing else needed.,Charlie can't do their work without the right permissions.,approve_access,lexical_cue_reduced,authorize,,
1523,Quick task: sign off on Alice's permission request.,Frank can't do their work without the right permissions.,approve_access,lexical_cue_reduced,permission;sign,,
1524,Quick task: green-light Eve's access to Marketing.,Grace needs to get into the system for their job.,approve_access,lexical_cue_reduced,access;green-light,,
1525,Simple request — authorize Alice for staging-db-02 and we're good.,There's a pending request that's blocking Charlie.,approve_access,lexical_cue_reduced,authorize,,
1526,Simple request — sign off on Charlie's permission request and we're good.,Eve can't do their work without the right permissions.,approve_access,lexical_cue_reduced,permission;sign,,
1527,Frank reported an issue — approve Grace's access request.,The request has been sitting there for days.,approve_access,lexical_cue_reduced,access;approve,,
1528,Simple request — give Charlie access to Marketing's resources and we're good.,Diana can't do their work without the right permissions.,approve_access,lexical_cue_reduced,access,,
