condition,row_index,query,ground_truth_raw,ground_truth_tool,predicted_tool,correct,rank,top1_cosine,ground_truth_cosine,top5_tools,top5_cosines
Standard,0,look up the record for #60122.,query_database,db_read,db_read,True,1,0.37240055203437805,0.37240055203437805,db_read;process_refund;provision_vm;generate_report;db_write,0.37240055;0.32676366;0.32408139;0.31986746;0.31590047
Standard,1,pull Alice's account details.,query_database,db_read,escalate_to_human,False,3,0.27991655468940735,0.24787954986095428,escalate_to_human;update_subscription;db_read;send_notification;provision_vm,0.27991655;0.25358823;0.24787955;0.20932679;0.19396877
Standard,2,retrieve information on Frank.,query_database,db_read,db_read,True,1,0.39477086067199707,0.39477086067199707,db_read;escalate_to_human;quarantine_system;send_notification;provision_vm,0.39477086;0.31214175;0.31039500;0.30572879;0.30473226
Standard,3,check the database entry for Charlie.,query_database,db_read,db_read,True,1,0.4804544448852539,0.4804544448852539,db_read;db_write;quarantine_system;scan_malware;generate_report,0.48045444;0.38129395;0.31506371;0.31114221;0.29426539
Standard,4,fetch the record linked to #20891.,query_database,db_read,db_write,False,2,0.4834139049053192,0.4817858636379242,db_write;db_read;generate_report;provision_vm;process_refund,0.48341390;0.48178586;0.45584217;0.44139373;0.42975456
Standard,5,search for transaction #20891 in the database.,query_database,db_read,db_read,True,1,0.4598851799964905,0.4598851799964905,db_read;db_write;generate_report;create_ticket;provision_vm,0.45988518;0.42198259;0.34388021;0.33173928;0.33083767
Standard,6,bring up Bob's account information.,query_database,db_read,update_subscription,False,7,0.26032277941703796,0.2214535027742386,update_subscription;quarantine_system;send_notification;escalate_to_human;provision_vm,0.26032278;0.24946477;0.24743029;0.23768310;0.23618735
Standard,7,search the database for Frank.,query_database,db_read,db_read,True,1,0.44782376289367676,0.44782376289367676,db_read;db_write;generate_report;send_notification;provision_vm,0.44782376;0.39809108;0.34424183;0.33178660;0.33047143
Standard,8,Please look up the record for Alice.,query_database,db_read,escalate_to_human,False,2,0.3715346157550812,0.30014702677726746,escalate_to_human;db_read;db_write;generate_report;create_ticket,0.37153462;0.30014703;0.29184350;0.28282532;0.26869318
Standard,9,Please retrieve the entry for #60122.,query_database,db_read,provision_vm,False,6,0.4821387231349945,0.42298412322998047,provision_vm;generate_report;send_notification;process_refund;quarantine_system,0.48213872;0.45507246;0.42936727;0.42585605;0.42468104
Standard,10,Please retrieve information on Frank.,query_database,db_read,provision_vm,False,7,0.4185278117656708,0.3758176565170288,provision_vm;generate_report;send_notification;quarantine_system;create_ticket,0.41852781;0.39991838;0.38786006;0.38745591;0.38489974
Standard,11,Please check the database entry for Eve.,query_database,db_read,db_write,False,2,0.46713241934776306,0.4623415172100067,db_write;db_read;generate_report;provision_vm;quarantine_system,0.46713242;0.46234152;0.31529841;0.28974476;0.28926802
Standard,12,Please fetch the record linked to #10234.,query_database,db_read,db_read,True,1,0.519241988658905,0.519241988658905,db_read;db_write;generate_report;process_refund;provision_vm,0.51924199;0.49762803;0.43877199;0.42445570;0.42102647
Standard,13,Please search for transaction #53698 in the database.,query_database,db_read,db_read,True,1,0.47939950227737427,0.47939950227737427,db_read;db_write;generate_report;provision_vm;log_audit_event,0.47939950;0.45443249;0.33770353;0.32077229;0.30624357
Standard,14,Please bring up Diana's account information.,query_database,db_read,db_read,True,1,0.3860560357570648,0.3860560357570648,db_read;provision_vm;generate_report;escalate_to_human;db_write,0.38605604;0.29615641;0.28957576;0.28553659;0.28313893
Standard,15,Please search the database for Alice.,query_database,db_read,db_read,True,1,0.3624459505081177,0.3624459505081177,db_read;db_write;escalate_to_human;generate_report;provision_vm,0.36244595;0.33604428;0.30471730;0.24712645;0.22851327
Standard,16,Can you look up the record for Alice?,query_database,db_read,db_read,True,1,0.3649921417236328,0.3649921417236328,db_read;escalate_to_human;db_write;generate_report;provision_vm,0.36499214;0.35851899;0.31288311;0.30527243;0.29230604
Standard,17,Can you pull Bob's account details?,query_database,db_read,db_read,True,1,0.3373299539089203,0.3373299539089203,db_read;update_subscription;reset_password;scan_malware;provision_vm,0.33732995;0.30631348;0.29142016;0.28252894;0.27931809
Standard,18,Can you check the database for #53698?,query_database,db_read,db_read,True,1,0.5324844717979431,0.5324844717979431,db_read;db_write;generate_report;provision_vm;quarantine_system,0.53248447;0.46286818;0.35917383;0.34993225;0.34203115
Standard,19,Can you pull the details associated with #53698?,query_database,db_read,provision_vm,False,5,0.4951780438423157,0.45540863275527954,provision_vm;generate_report;create_ticket;escalate_to_human;db_read,0.49517804;0.48971456;0.47000828;0.45870364;0.45540863
Standard,20,Can you fetch Alice's profile from the database?,query_database,db_read,db_read,True,1,0.36641842126846313,0.36641842126846313,db_read;db_write;scan_malware;send_notification;provision_vm,0.36641842;0.21779446;0.19134298;0.18118891;0.17578453
Standard,21,Can you read the record tied to Eve?,query_database,db_read,db_write,False,2,0.4077507555484772,0.361225962638855,db_write;db_read;generate_report;escalate_to_human;provision_vm,0.40775076;0.36122596;0.32461333;0.29947579;0.29912251
Standard,22,Can you bring up the database entry for #20891?,query_database,db_read,db_write,False,2,0.5480358600616455,0.5298340320587158,db_write;db_read;provision_vm;generate_report;send_notification,0.54803586;0.52983403;0.48569846;0.47701961;0.42485580
Standard,23,Can you read back the data for #60122?,query_database,db_read,db_read,True,1,0.5085593461990356,0.5085593461990356,db_read;db_write;provision_vm;generate_report;send_notification,0.50855935;0.42891705;0.39142132;0.38748559;0.37611610
Standard,24,Could you look up the record for #60122 for me?,query_database,db_read,db_read,True,1,0.41237515211105347,0.41237515211105347,db_read;db_write;generate_report;provision_vm;create_ticket,0.41237515;0.36893886;0.36638606;0.35885340;0.34314150
Standard,25,Could you pull Frank's account details for me?,query_database,db_read,send_notification,False,5,0.41442352533340454,0.3827953338623047,send_notification;update_subscription;provision_vm;generate_report;db_read,0.41442353;0.40988079;0.40638766;0.40031737;0.38279533
Standard,26,Could you retrieve information on Eve for me?,query_database,db_read,db_read,True,1,0.4098632335662842,0.4098632335662842,db_read;db_write;log_audit_event;generate_report;send_notification,0.40986323;0.36150852;0.35449868;0.32159218;0.30637386
Standard,27,Could you check the database entry for Diana for me?,query_database,db_read,db_read,True,1,0.5353317856788635,0.5353317856788635,db_read;db_write;generate_report;quarantine_system;provision_vm,0.53533179;0.46032989;0.35918373;0.31887451;0.31490889
Standard,28,Could you fetch the record linked to #20891 for me?,query_database,db_read,db_write,False,2,0.5234791040420532,0.5072413086891174,db_write;db_read;generate_report;provision_vm;create_ticket,0.52347910;0.50724131;0.49843386;0.47015488;0.46502548
Standard,29,Could you search for transaction #42017 in the database for me?,query_database,db_read,db_read,True,1,0.5035576820373535,0.5035576820373535,db_read;db_write;generate_report;log_audit_event;provision_vm,0.50355768;0.47478330;0.38147390;0.35386565;0.35290006
Standard,30,Could you bring up the database entry for #31450 for me?,query_database,db_read,db_write,False,2,0.5175212621688843,0.5141327977180481,db_write;db_read;generate_report;provision_vm;send_notification,0.51752126;0.51413280;0.43265826;0.42311722;0.40238214
Standard,31,Could you read back the data for #10234 for me?,query_database,db_read,db_read,True,1,0.5442237257957458,0.5442237257957458,db_read;db_write;generate_report;send_notification;provision_vm,0.54422373;0.47114488;0.44274437;0.42421529;0.40226358
Standard,32,I need you to look up the record for #20891.,query_database,db_read,create_ticket,False,7,0.47658973932266235,0.4024830758571625,create_ticket;generate_report;provision_vm;db_write;process_refund,0.47658974;0.47646159;0.45724905;0.44045269;0.43158308
Standard,33,I need you to retrieve the entry for #60122.,query_database,db_read,provision_vm,False,5,0.5041182041168213,0.4469262957572937,provision_vm;generate_report;send_notification;quarantine_system;db_read,0.50411820;0.48077095;0.45891762;0.44827053;0.44692630
Standard,34,I need you to retrieve information on Diana.,query_database,db_read,db_read,True,1,0.48606374859809875,0.48606374859809875,db_read;db_write;generate_report;quarantine_system;provision_vm,0.48606375;0.36656493;0.31172168;0.29272011;0.28599221
Standard,35,I need you to pull the details associated with #31450.,query_database,db_read,generate_report,False,6,0.49677252769470215,0.44082072377204895,generate_report;provision_vm;send_notification;create_ticket;db_write,0.49677253;0.48622841;0.47888789;0.46157584;0.45454088
Standard,36,I need you to fetch the record linked to #31450.,query_database,db_read,db_read,True,1,0.5160853266716003,0.5160853266716003,db_read;db_write;generate_report;provision_vm;send_notification,0.51608533;0.50273359;0.44726035;0.43200636;0.41908854
Standard,37,I need you to read the record tied to Bob.,query_database,db_read,db_read,True,1,0.29458197951316833,0.29458197951316833,db_read;generate_report;quarantine_system;process_refund;escalate_to_human,0.29458198;0.29201519;0.29189888;0.29056919;0.27855715
Standard,38,I need you to bring up Bob's account information.,query_database,db_read,quarantine_system,False,8,0.3489915132522583,0.3080669641494751,quarantine_system;provision_vm;send_notification;update_subscription;scan_malware,0.34899151;0.34032887;0.33638015;0.32622296;0.32278764
Standard,39,I need you to search the database for Grace.,query_database,db_read,db_read,True,1,0.3421470820903778,0.3421470820903778,db_read;db_write;reset_password;scan_malware;generate_report,0.34214708;0.30614394;0.25048563;0.22371955;0.21623604
Standard,40,We should look up the record for Charlie.,query_database,db_read,quarantine_system,False,2,0.3155577480792999,0.29737722873687744,quarantine_system;db_read;generate_report;process_refund;scan_malware,0.31555775;0.29737723;0.28083715;0.27419707;0.27275732
Standard,41,We should pull Alice's account details.,query_database,db_read,escalate_to_human,False,4,0.287932813167572,0.23015540838241577,escalate_to_human;update_subscription;send_notification;db_read;generate_report,0.28793281;0.27159971;0.23793796;0.23015541;0.22705489
Standard,42,We should retrieve information on Alice.,query_database,db_read,escalate_to_human,False,2,0.3752117455005646,0.2886224687099457,escalate_to_human;db_read;send_notification;generate_report;quarantine_system,0.37521175;0.28862247;0.27537552;0.27000311;0.25145280
Standard,43,We should check the database entry for Diana.,query_database,db_read,db_read,True,1,0.5072534084320068,0.5072534084320068,db_read;db_write;generate_report;quarantine_system;provision_vm,0.50725341;0.42418274;0.32046166;0.29840419;0.27865601
Standard,44,We should fetch the record linked to #10234.,query_database,db_read,db_read,True,1,0.5229620933532715,0.5229620933532715,db_read;db_write;generate_report;process_refund;provision_vm,0.52296209;0.49368185;0.45530838;0.42641699;0.42382240
Standard,45,We should read the record tied to Charlie.,query_database,db_read,quarantine_system,False,3,0.2886604368686676,0.2705319821834564,quarantine_system;generate_report;db_read;process_refund;check_status,0.28866044;0.27484763;0.27053198;0.26440865;0.25787359
Standard,46,We should bring up Grace's account information.,query_database,db_read,update_subscription,False,8,0.3331059217453003,0.20160825550556183,update_subscription;reset_password;scan_malware;provision_vm;send_notification,0.33310592;0.27057347;0.26071981;0.23105523;0.22607131
Standard,47,We should search the database for Charlie.,query_database,db_read,db_read,True,1,0.377047598361969,0.377047598361969,db_read;db_write;quarantine_system;scan_malware;generate_report,0.37704760;0.31225735;0.30743629;0.28388384;0.28275338
Standard,48,Let's look up the record for Charlie.,query_database,db_read,quarantine_system,False,2,0.31010743975639343,0.2921604812145233,quarantine_system;db_read;process_refund;provision_vm;generate_report,0.31010744;0.29216048;0.28417513;0.27596590;0.27560323
Standard,49,Let's retrieve the entry for #10234.,query_database,db_read,generate_report,False,5,0.4919601380825043,0.4604965150356293,generate_report;provision_vm;process_refund;send_notification;db_read,0.49196014;0.49178243;0.47011071;0.46538150;0.46049652
Standard,50,Let's check the database for #60122.,query_database,db_read,db_read,True,1,0.49748221039772034,0.49748221039772034,db_read;db_write;generate_report;provision_vm;send_notification,0.49748221;0.43859121;0.34868941;0.34563068;0.34372574
