query,dag_id,dag_text,tools,edges,_valid,_topo_hash,_dag_hash,_topo_family
Time to back out the deployment on auth-svc-04 and at the same time file an incident report about staging-db-02 and recover Finance's data from backup.,433,"rollback_deployment -> create_ticket, rollback_deployment -> restore_backup",rollback_deployment;create_ticket;restore_backup,0->1;0->2,True,921735efccf80bf4,595cac15a6701568,fanout
"Time to query the database about #60122. Once that's done, refund Grace. Last step: record the event in Marketing's log.",81,"db_read -> process_refund, process_refund -> log_audit_event",db_read;process_refund;log_audit_event,0->1;1->2,True,e48779c27a089d04,137cd7f87a055c01,chain_medium
"Hey, can you dump the database on prod-web-01, followed by push the container image for HR.",185,backup_database -> deploy_container,backup_database;deploy_container,0->1,True,d734d7aefc1bad15,979753c190ec278b,chain_short
"Do me a favor and spin up a VM for HR. Once that's done, send a heads-up to Legal.",79,provision_vm -> send_notification,provision_vm;send_notification,0->1,True,d734d7aefc1bad15,2c81a103037dd519,chain_short
"Quick one — investigate auth-svc-04 for infections. Next, pull staging-db-02 from production — in parallel, ping Grace about it and record the event in HR's log.",142,"quarantine_system -> log_audit_event, quarantine_system -> send_notification, scan_malware -> quarantine_system",scan_malware;quarantine_system;send_notification;log_audit_event,0->1;1->2;1->3,True,15c4592954b8570f,91fc4d2a739f8a9d,fanout
"Check the DB records and scan staging-db-02 for threats, then dump it all in the audit log.",12,"db_read -> log_audit_event, scan_malware -> log_audit_event",db_read;scan_malware;log_audit_event,0->2;1->2,True,2c0fe2d65641f8ac,e47ee04d569a02c6,fanin
"Ticket INC-4021 says rotate the API key for payment-api-03, then pull Grace's credentials for ml-infer-05. End with grant Frank permissions to ml-infer-05.",321,"revoke_access -> approve_access, rotate_api_key -> revoke_access",rotate_api_key;revoke_access;approve_access,0->1;1->2,True,e48779c27a089d04,9b80b61b8d1816b1,chain_medium
"The Finance team needs us to downgrade Frank's account. Next, kill the feature toggle for Marketing.",174,update_subscription -> disable_feature_flag,update_subscription;disable_feature_flag,0->1,True,d734d7aefc1bad15,c7c483baf948427b,chain_short
"Bob is asking us to check if payment-api-03 is up. After that, log Frank's action for compliance. Last step: downgrade Bob's account.",308,"check_status -> log_audit_event, log_audit_event -> update_subscription",check_status;log_audit_event;update_subscription,0->1;1->2,True,e48779c27a089d04,0b72b68e3e9cb434,chain_medium
"Do me a favor and quarantine cdn-edge-06, followed by log Alice's action for compliance.",63,quarantine_system -> log_audit_event,quarantine_system;log_audit_event,0->1,True,d734d7aefc1bad15,974070caf7601b4a,chain_short
