source_row_id,original_query,transformed_query,label,generation_type,lexical_cues_removed,paraphrase_family,confusable_with
0,Just ping cdn-edge-06 for a health check. Nothing else needed.,Just ping cdn-edge-06 for a health check. Nothing else needed.,check_status,paraphrase_original,,0,
0,Just ping cdn-edge-06 for a health check. Nothing else needed.,Is it possible to just ping cdn-edge-06 for a health check. nothing else needed?,check_status,paraphrase_variant,,0,
0,Just ping cdn-edge-06 for a health check. Nothing else needed.,Need you to just ping cdn-edge-06 for a health check. nothing else needed.,check_status,paraphrase_variant,,0,
0,Just ping cdn-edge-06 for a health check. Nothing else needed.,I'd appreciate it if you could just ping cdn-edge-06 for a health check. nothing else needed.,check_status,paraphrase_variant,,0,
0,Just ping cdn-edge-06 for a health check. Nothing else needed.,What we need is for just ping cdn-edge-06 for a health check. nothing else needed.,check_status,paraphrase_variant,,0,
2,Quick task: ping prod-web-01 for a health check.,Quick task: ping prod-web-01 for a health check.,check_status,paraphrase_original,,2,
2,Quick task: ping prod-web-01 for a health check.,It would help if quick task: ping prod-web-01 for a health check.,check_status,paraphrase_variant,,2,
2,Quick task: ping prod-web-01 for a health check.,We request that you quick task: ping prod-web-01 for a health check.,check_status,paraphrase_variant,,2,
2,Quick task: ping prod-web-01 for a health check.,Gonna need you to quick task: ping prod-web-01 for a health check.,check_status,paraphrase_variant,,2,
2,Quick task: ping prod-web-01 for a health check.,Would anyone be able to quick task: ping prod-web-01 for a health check?,check_status,paraphrase_variant,,2,
3,Simple request — assess cdn-edge-06's status and we're good.,Simple request — assess cdn-edge-06's status and we're good.,check_status,paraphrase_original,,3,
3,Simple request — assess cdn-edge-06's status and we're good.,Quick one -- simple request — assess cdn-edge-06's status and we're good.,check_status,paraphrase_variant,,3,
3,Simple request — assess cdn-edge-06's status and we're good.,simple request — assess cdn-edge-06's status and we're good -- that's what needs to happen.,check_status,paraphrase_variant,,3,
3,Simple request — assess cdn-edge-06's status and we're good.,Could someone simple request — assess cdn-edge-06's status and we're good?,check_status,paraphrase_variant,,3,
3,Simple request — assess cdn-edge-06's status and we're good.,Would you mind simple request — assess cdn-edge-06's status and we're good.,check_status,paraphrase_variant,,3,
4,Simple request — ping payment-api-03 for a health check and we're good.,Simple request — ping payment-api-03 for a health check and we're good.,check_status,paraphrase_original,,4,
4,Simple request — ping payment-api-03 for a health check and we're good.,The situation requires simple request — ping payment-api-03 for a health check and we're good.,check_status,paraphrase_variant,,4,
4,Simple request — ping payment-api-03 for a health check and we're good.,Is it possible to simple request — ping payment-api-03 for a health check and we're good?,check_status,paraphrase_variant,,4,
4,Simple request — ping payment-api-03 for a health check and we're good.,Quick one -- simple request — ping payment-api-03 for a health check and we're good.,check_status,paraphrase_variant,,4,
4,Simple request — ping payment-api-03 for a health check and we're good.,Would you mind simple request — ping payment-api-03 for a health check and we're good.,check_status,paraphrase_variant,,4,
7,Quick task: diagnose staging-db-02.,Quick task: diagnose staging-db-02.,check_status,paraphrase_original,,7,
7,Quick task: diagnose staging-db-02.,We request that you quick task: diagnose staging-db-02.,check_status,paraphrase_variant,,7,
7,Quick task: diagnose staging-db-02.,Gonna need you to quick task: diagnose staging-db-02.,check_status,paraphrase_variant,,7,
7,Quick task: diagnose staging-db-02.,Who can quick task: diagnose staging-db-02?,check_status,paraphrase_variant,,7,
7,Quick task: diagnose staging-db-02.,The situation requires quick task: diagnose staging-db-02.,check_status,paraphrase_variant,,7,
9,Quick task: diagnose prod-web-01.,Quick task: diagnose prod-web-01.,check_status,paraphrase_original,,9,
9,Quick task: diagnose prod-web-01.,The situation requires quick task: diagnose prod-web-01.,check_status,paraphrase_variant,,9,
9,Quick task: diagnose prod-web-01.,Is it possible to quick task: diagnose prod-web-01?,check_status,paraphrase_variant,,9,
9,Quick task: diagnose prod-web-01.,Could you please quick task: diagnose prod-web-01.,check_status,paraphrase_variant,,9,
9,Quick task: diagnose prod-web-01.,Gonna need you to quick task: diagnose prod-web-01.,check_status,paraphrase_variant,,9,
12,Quick task: check if ml-infer-05 is up.,Quick task: check if ml-infer-05 is up.,check_status,paraphrase_original,,12,
12,Quick task: check if ml-infer-05 is up.,quick task: check if ml-infer-05 is up -- that's what needs to happen.,check_status,paraphrase_variant,,12,
12,Quick task: check if ml-infer-05 is up.,Would anyone be able to quick task: check if ml-infer-05 is up?,check_status,paraphrase_variant,,12,
12,Quick task: check if ml-infer-05 is up.,We request that you quick task: check if ml-infer-05 is up.,check_status,paraphrase_variant,,12,
12,Quick task: check if ml-infer-05 is up.,Need you to quick task: check if ml-infer-05 is up.,check_status,paraphrase_variant,,12,
13,Quick task: verify prod-web-01's health.,Quick task: verify prod-web-01's health.,check_status,paraphrase_original,,13,
13,Quick task: verify prod-web-01's health.,Gonna need you to quick task: verify prod-web-01's health.,check_status,paraphrase_variant,,13,
13,Quick task: verify prod-web-01's health.,quick task: verify prod-web-01's health -- that's what needs to happen.,check_status,paraphrase_variant,,13,
13,Quick task: verify prod-web-01's health.,Could you please quick task: verify prod-web-01's health.,check_status,paraphrase_variant,,13,
13,Quick task: verify prod-web-01's health.,Who can quick task: verify prod-web-01's health?,check_status,paraphrase_variant,,13,
14,Urgent: see what's going on with ml-infer-05.,Urgent: see what's going on with ml-infer-05.,check_status,paraphrase_original,,14,
14,Urgent: see what's going on with ml-infer-05.,What we need is for see what's going on with ml-infer-05.,check_status,paraphrase_variant,,14,
14,Urgent: see what's going on with ml-infer-05.,Could someone see what's going on with ml-infer-05?,check_status,paraphrase_variant,,14,
14,Urgent: see what's going on with ml-infer-05.,Quick one -- see what's going on with ml-infer-05.,check_status,paraphrase_variant,,14,
14,Urgent: see what's going on with ml-infer-05.,I'd appreciate it if you could see what's going on with ml-infer-05.,check_status,paraphrase_variant,,14,
15,Simple request — check if auth-svc-04 is up and we're good.,Simple request — check if auth-svc-04 is up and we're good.,check_status,paraphrase_original,,15,
15,Simple request — check if auth-svc-04 is up and we're good.,It would help if simple request — check if auth-svc-04 is up and we're good.,check_status,paraphrase_variant,,15,
15,Simple request — check if auth-svc-04 is up and we're good.,Who can simple request — check if auth-svc-04 is up and we're good?,check_status,paraphrase_variant,,15,
15,Simple request — check if auth-svc-04 is up and we're good.,"Hey, can you simple request — check if auth-svc-04 is up and we're good.",check_status,paraphrase_variant,,15,
15,Simple request — check if auth-svc-04 is up and we're good.,Would you mind simple request — check if auth-svc-04 is up and we're good.,check_status,paraphrase_variant,,15,
16,Simple request — check if prod-web-01 is up and we're good.,Simple request — check if prod-web-01 is up and we're good.,check_status,paraphrase_original,,16,
16,Simple request — check if prod-web-01 is up and we're good.,Would anyone be able to simple request — check if prod-web-01 is up and we're good?,check_status,paraphrase_variant,,16,
16,Simple request — check if prod-web-01 is up and we're good.,Do me a favor and simple request — check if prod-web-01 is up and we're good.,check_status,paraphrase_variant,,16,
16,Simple request — check if prod-web-01 is up and we're good.,Would you mind simple request — check if prod-web-01 is up and we're good.,check_status,paraphrase_variant,,16,
16,Simple request — check if prod-web-01 is up and we're good.,The situation requires simple request — check if prod-web-01 is up and we're good.,check_status,paraphrase_variant,,16,
18,Simple request — check if prod-web-01 is up and we're good.,Simple request — check if prod-web-01 is up and we're good.,check_status,paraphrase_original,,18,
18,Simple request — check if prod-web-01 is up and we're good.,Quick one -- simple request — check if prod-web-01 is up and we're good.,check_status,paraphrase_variant,,18,
18,Simple request — check if prod-web-01 is up and we're good.,We request that you simple request — check if prod-web-01 is up and we're good.,check_status,paraphrase_variant,,18,
18,Simple request — check if prod-web-01 is up and we're good.,simple request — check if prod-web-01 is up and we're good -- that's what needs to happen.,check_status,paraphrase_variant,,18,
18,Simple request — check if prod-web-01 is up and we're good.,Would anyone be able to simple request — check if prod-web-01 is up and we're good?,check_status,paraphrase_variant,,18,
19,Quick task: diagnose staging-db-02.,Quick task: diagnose staging-db-02.,check_status,paraphrase_original,,19,
19,Quick task: diagnose staging-db-02.,Gonna need you to quick task: diagnose staging-db-02.,check_status,paraphrase_variant,,19,
