query,gt_tool,rank_of_one_node,top1_is_one_node,top1_dag_text,top1_cosine,gt_cosine
Can you bring up the database entry for #20891?,db_read,2,True,db_write,0.6475863456726074,0.6224533915519714
Could you bring up the database entry for #31450 for me?,db_read,2,True,db_write,0.6419717073440552,0.6263297200202942
Please write the revised Finance config back.,db_write,2,True,update_subscription,0.5319574475288391,0.5112959742546082
log a helpdesk issue for Bob.,create_ticket,2,True,log_audit_event,0.6476337313652039,0.5622727274894714
raise a service request for HR.,create_ticket,4,True,provision_vm,0.613849937915802,0.5372613072395325
Please log an issue against staging-db-02.,create_ticket,2,True,log_audit_event,0.5913825035095215,0.5861090421676636
Please raise a service request for Finance.,create_ticket,3,True,provision_vm,0.6414965391159058,0.5689242482185364
Can you log a helpdesk issue for Grace?,create_ticket,2,True,log_audit_event,0.6841166615486145,0.558343768119812
Could you log a helpdesk issue for Frank for me?,create_ticket,3,True,log_audit_event,0.6453334093093872,0.556425929069519
Could you create a service request for auth-svc-04 for me?,create_ticket,3,True,restart_service,0.6842190623283386,0.5466650128364563
I need you to log a helpdesk issue for Engineering.,create_ticket,2,True,log_audit_event,0.6644618511199951,0.5869943499565125
I need you to raise a service request for Marketing.,create_ticket,5,True,provision_vm,0.6778521537780762,0.5451682806015015
We should log an issue against prod-web-01.,create_ticket,2,True,log_audit_event,0.628140926361084,0.6203503012657166
We should create a service request for prod-web-01.,create_ticket,3,True,restart_service,0.6742212176322937,0.5263819694519043
Let's log an issue against ml-infer-05.,create_ticket,2,True,log_audit_event,0.6367632150650024,0.5736964344978333
Let's raise a support request on behalf of Bob.,create_ticket,3,True,escalate_to_human,0.6172704696655273,0.5295671224594116
Kindly log an issue against cdn-edge-06.,create_ticket,2,True,log_audit_event,0.6243571043014526,0.5779067277908325
Kindly create a service request for staging-db-02.,create_ticket,3,True,restart_service,0.6197080016136169,0.4610176086425781
forward the update to Charlie.,send_notification,3,True,update_subscription,0.5686396360397339,0.489441841840744
Can you forward the latest update to Legal?,send_notification,2,True,update_subscription,0.5643754601478577,0.5081223249435425
Please contain prod-web-01 immediately.,quarantine_system,2,True,restart_service,0.6135605573654175,0.6116662621498108
Please segment cdn-edge-06 from the rest of the environment.,quarantine_system,2,True,restart_service,0.6104522347450256,0.603540301322937
Could you contain payment-api-03 immediately for me?,quarantine_system,2,True,restart_service,0.6234972476959229,0.59661465883255
I need you to segment cdn-edge-06 from the rest of the environment.,quarantine_system,2,True,restart_service,0.5916295051574707,0.5881391763687134
We should contain auth-svc-04 immediately.,quarantine_system,2,True,restart_service,0.6221820116043091,0.5965230464935303
We should segment ml-infer-05 from the rest of the environment.,quarantine_system,2,True,restart_service,0.5710451602935791,0.5585069060325623
Let's segment prod-web-01 from the rest of the environment.,quarantine_system,2,True,restart_service,0.6352706551551819,0.6294505000114441
Kindly segment payment-api-03 from the rest of the environment.,quarantine_system,2,True,restart_service,0.6052790284156799,0.55838543176651
check prod-web-01 for indicators of compromise.,scan_malware,2,True,check_status,0.6945950984954834,0.6535825729370117
Please check payment-api-03 for indicators of compromise.,scan_malware,2,True,check_status,0.641057550907135,0.6263216137886047
Can you check payment-api-03 for indicators of compromise?,scan_malware,2,True,check_status,0.6502054929733276,0.6033897995948792
